Name in English,Number of speakers,Degree of endangerment,Wikipedia URL
Utsat,3700,Definitely endangered,
Nayi,3656,Vulnerable,https://en.wikipedia.org/wiki/Nayi_language
Mussau-Emira,3651,Definitely endangered,https://en.wikipedia.org/wiki/Mussau-Emira_language
Narim,3623,Definitely endangered,https://en.wikipedia.org/wiki/Narim
Garífuna (Guatemala),3564,Vulnerable,
Nachiring,3553,Severely endangered,
Eastern Popoloc,3544,Vulnerable,https://en.wikipedia.org/wiki/Southern_Popoloca_language
Nding,3513,Critically endangered,https://en.wikipedia.org/wiki/Nding
Anung (Myanmar),3500,Severely endangered,
Camsá,3500,Definitely endangered,https://en.wikipedia.org/wiki/Cams%C3%A1_language
Crow,3500,Definitely endangered,https://en.wikipedia.org/wiki/Crow
Sak (Myanmar),3500,Vulnerable,
Shwai,3500,Critically endangered,https://en.wikipedia.org/wiki/Shwai_people
Wano,3500,Definitely endangered,https://en.wikipedia.org/wiki/Wano
Northwestern Ojibwe,3465,Vulnerable,
Bakpinka,3416,Critically endangered,https://en.wikipedia.org/wiki/Bakpinka_language
Morokodo,3400,Severely endangered,https://en.wikipedia.org/wiki/Morokodo_people
Eloxochitlán Mazatec,3384,Vulnerable,https://en.wikipedia.org/wiki/Tec%C3%B3atl_Mazatec
Menik,3375,Definitely endangered,https://en.wikipedia.org/wiki/Menik
Teribe (Panama),3305,Definitely endangered,
Tima,3305,Severely endangered,https://en.wikipedia.org/wiki/Tima
Mursi,3278,Vulnerable,https://en.wikipedia.org/wiki/Mursi
Pendau,3200,Vulnerable,https://en.wikipedia.org/wiki/Pendau_language
Ayautla Mazatec,3192,Vulnerable,https://en.wikipedia.org/wiki/Ayautla_Mazatec
Yucatec,3155,Definitely endangered,https://en.wikipedia.org/wiki/Yucatec_Maya_language
Sayultec,3150,Definitely endangered,https://en.wikipedia.org/wiki/Sayula_Popoluca
Eastern Tlapanec,3088,Vulnerable,https://en.wikipedia.org/wiki/Tlapanec_language
Juhur (Caucasus),3016,Definitely endangered,
Awjila,3000,Severely endangered,https://en.wikipedia.org/wiki/Awjila
Baleasang,3000,Definitely endangered,
Benga,3000,Definitely endangered,https://en.wikipedia.org/wiki/Benga
Besoa,3000,Vulnerable,https://en.wikipedia.org/wiki/Besoa
Boni,3000,Definitely endangered,https://en.wikipedia.org/wiki/Boni
Bonjo,3000,Severely endangered,https://en.wikipedia.org/wiki/Bonjo_language
Brokshat,3000,Definitely endangered,
Budukh,3000,Severely endangered,https://en.wikipedia.org/wiki/Budukh
Dahaalik,3000,Critically endangered,https://en.wikipedia.org/wiki/Dahalik_language
East Greenlandic,3000,Definitely endangered,https://en.wikipedia.org/wiki/Tunumiisut
Eastern Khanty,3000,Definitely endangered,
Fyem,3000,Severely endangered,https://en.wikipedia.org/wiki/Pyam_language
Geta?,3000,Severely endangered,https://en.wikipedia.org/wiki/Geta
Gura,3000,Severely endangered,https://en.wikipedia.org/wiki/Gura
Harsusi,3000,Definitely endangered,https://en.wikipedia.org/wiki/%E1%B8%A4arsusi_language
Hozo,3000,Definitely endangered,https://en.wikipedia.org/wiki/Hozo
Jemez,3000,Vulnerable,https://en.wikipedia.org/wiki/Jemez
Kamara,3000,Definitely endangered,https://en.wikipedia.org/wiki/Kamara
Kapingamarangi,3000,Severely endangered,https://en.wikipedia.org/wiki/Kapingamarangi
Koitabu,3000,Vulnerable,https://en.wikipedia.org/wiki/Koita_language
Kuk,3000,Definitely endangered,https://en.wikipedia.org/wiki/Kuk
Lai,3000,Definitely endangered,https://en.wikipedia.org/wiki/Lai
Limirong Tibetan,3000,Definitely endangered,
Lishanid Noshan (Israel),3000,Severely endangered,
Lude,3000,Severely endangered,https://en.wikipedia.org/wiki/Lude
"Mbya Guarani (Argentina, Uruguay)",3000,Severely endangered,
"Mohawk (Akwesasne, St. Regis)",3000,Definitely endangered,
Nanay,3000,Severely endangered,https://en.wikipedia.org/wiki/Nanay
Palu'e,3000,Definitely endangered,https://en.wikipedia.org/wiki/Palu%27e
Panare,3000,Vulnerable,https://en.wikipedia.org/wiki/Panare
Pilagá,3000,Vulnerable,https://en.wikipedia.org/wiki/Pilag%C3%A1_language
Pitjantjatjara,3000,Vulnerable,https://en.wikipedia.org/wiki/Pitjantjatjara
Pukur,3000,Definitely endangered,
Rotuman,3000,Vulnerable,https://en.wikipedia.org/wiki/Rotuman
Savi,3000,Definitely endangered,https://en.wikipedia.org/wiki/Savi
Sherdukpen,3000,Vulnerable,https://en.wikipedia.org/wiki/Sherdukpen_people
Shira Yugur,3000,Severely endangered,
Takahanyilang,3000,Critically endangered,
U,3000,Definitely endangered,https://en.wikipedia.org/wiki/U
Ulithian,3000,Severely endangered,https://en.wikipedia.org/wiki/Ulithian_language
Waima'a,3000,Definitely endangered,https://en.wikipedia.org/wiki/Waimoa_language
Warlpiri,3000,Vulnerable,https://en.wikipedia.org/wiki/Warlpiri
Yukpa,3000,Vulnerable,https://en.wikipedia.org/wiki/Yukpa_people
Western Montagnais,2980,Vulnerable,
Waiwai (Brazil),2916,Vulnerable,
Jersey French,2874,Severely endangered,https://en.wikipedia.org/wiki/Jersey_French
Bahing,2765,Definitely endangered,https://en.wikipedia.org/wiki/Bahing
Stoney,2765,Vulnerable,https://en.wikipedia.org/wiki/Stoney
Southwestern Tepehuan,2756,Vulnerable,https://en.wikipedia.org/wiki/Tepehu%C3%A1n_language
Northern Mansi,2746,Severely endangered,https://en.wikipedia.org/wiki/Northern_Mansi_language
Bisu,2740,Definitely endangered,https://en.wikipedia.org/wiki/Bisu
Wari,2721,Definitely endangered,https://en.wikipedia.org/wiki/Wari
Pakan,2700,Definitely endangered,https://en.wikipedia.org/wiki/Pakan
Yami,2700,Vulnerable,https://en.wikipedia.org/wiki/Yamuna_in_Hinduism
Ko,2683,Critically endangered,https://en.wikipedia.org/wiki/Ko
Yuracaré,2675,Definitely endangered,https://en.wikipedia.org/wiki/Yuracar%C3%A9
Aimol,2643,Critically endangered,https://en.wikipedia.org/wiki/Aimol_people
Kohi,2641,Vulnerable,
Chatino of the western lowlands,2640,Definitely endangered,https://en.wikipedia.org/wiki/Tataltepec_Chatino
Bolo,2627,Definitely endangered,https://en.wikipedia.org/wiki/Bolo
Logol,2600,Severely endangered,https://en.wikipedia.org/wiki/Logol
Sila,2600,Definitely endangered,https://en.wikipedia.org/wiki/Sila
Pisaflores Tepehua,2578,Vulnerable,https://en.wikipedia.org/wiki/Pisaflores_Tepehua
Xerente,2569,Severely endangered,https://en.wikipedia.org/wiki/Xerente
Bribri (Panama),2521,Severely endangered,
Achuar,2500,Definitely endangered,https://en.wikipedia.org/wiki/Achuar
Bai,2500,Definitely endangered,https://en.wikipedia.org/wiki/Bai
Banka,2500,Definitely endangered,https://en.wikipedia.org/wiki/Banka
Culina (Peru),2500,Definitely endangered,
Gadang,2500,Definitely endangered,https://en.wikipedia.org/wiki/Gadang_language
Khinalug,2500,Severely endangered,https://en.wikipedia.org/wiki/Khinalug
Laomian (China),2500,Definitely endangered,
Laomian (Myanmar),2500,Definitely endangered,
Lhokpu,2500,Definitely endangered,https://en.wikipedia.org/wiki/Lhokpu_language
Martuwangka,2500,Vulnerable,
Mayoruna (Peru),2500,Vulnerable,
Pingelapese,2500,Severely endangered,https://en.wikipedia.org/wiki/Pingelapese_language
Rapanui,2500,Severely endangered,https://en.wikipedia.org/wiki/Rapa_Nui_people
Remo,2500,Severely endangered,https://en.wikipedia.org/wiki/Remo
Roshorvi,2500,Severely endangered,
Sanglechi,2500,Severely endangered,https://en.wikipedia.org/wiki/Sanglechi_language
Semelai,2500,Severely endangered,https://en.wikipedia.org/wiki/Semelai
Urak Lawoi (Malaysia),2500,Definitely endangered,
Urak Lawoi (Thailand),2500,Definitely endangered,
Zirenkel,2500,Definitely endangered,https://en.wikipedia.org/wiki/Zirenkel_language
Vumbu,2460,Definitely endangered,https://en.wikipedia.org/wiki/Vumbu_language
Mopán (Guatemala),2455,Severely endangered,
Cuiba,2445,Severely endangered,https://en.wikipedia.org/wiki/Cuiba_language
Raji,2413,Severely endangered,https://en.wikipedia.org/wiki/Raji
Highland Chontal,2410,Severely endangered,https://en.wikipedia.org/wiki/Highland_Oaxaca_Chontal
Yasa,2401,Definitely endangered,https://en.wikipedia.org/wiki/Yasa
Bumbita Arapesh,2353,Vulnerable,https://en.wikipedia.org/wiki/Bumbita_language
Mang (China),2300,Definitely endangered,
Mang (Viet Nam),2300,Definitely endangered,
Tlachichilco Tepehua,2234,Definitely endangered,https://en.wikipedia.org/wiki/Tlachichilco_Tepehua
Blackfoot (Canada),2200,Definitely endangered,
Jaya,2200,Severely endangered,https://en.wikipedia.org/wiki/Jaya
Karipuna do Amapá,2200,Vulnerable,https://en.wikipedia.org/wiki/Karipuna_do_Amap%C3%A1
Kulfa,2200,Definitely endangered,https://en.wikipedia.org/wiki/Kaba_So_language
Krahô,2184,Vulnerable,https://en.wikipedia.org/wiki/Krah%C3%B4
Kristang,2150,Severely endangered,https://en.wikipedia.org/wiki/Kristang
Yine,2150,Definitely endangered,https://en.wikipedia.org/wiki/Yine
North Alaskan Inupiaq (Kotzebue Sound),2144,Severely endangered,
North Alaskan Inupiaq (North Slope),2144,Severely endangered,
Seward Peninsula Inupiaq (King Island),2144,Critically endangered,
Seward Peninsula Inupiaq (Little Diomede Island),2144,Critically endangered,
Seward Peninsula Inupiaq (Norton Sound),2144,Critically endangered,
Katukína-Kanamarí,2100,Vulnerable,https://en.wikipedia.org/wiki/Kanamar%C3%AD_language
Tiwi,2100,Vulnerable,https://en.wikipedia.org/wiki/Tiwi
Zaozou,2100,Vulnerable,
Ngäbere (Costa Rica),2041,Definitely endangered,
Aiton,2000,Severely endangered,https://en.wikipedia.org/wiki/Aiton
Anindilyakwa,2000,Vulnerable,https://en.wikipedia.org/wiki/Anindilyakwa
Apurinã,2000,Definitely endangered,https://en.wikipedia.org/wiki/Apurin%C3%A3
Arrernte,2000,Vulnerable,https://en.wikipedia.org/wiki/Arrernte
Ashkun,2000,Definitely endangered,https://en.wikipedia.org/wiki/Nuristanis#Pre-1895_Kafir_society
Ata,2000,Critically endangered,https://en.wikipedia.org/wiki/Ata
Athpahariya,2000,Definitely endangered,
Ava-Guaraní,2000,Definitely endangered,
Bayso,2000,Definitely endangered,
Birhor,2000,Critically endangered,https://en.wikipedia.org/wiki/Birhor
Boano,2000,Vulnerable,https://en.wikipedia.org/wiki/Boano
Bori,2000,Definitely endangered,https://en.wikipedia.org/wiki/Bori
Chepya,2000,Definitely endangered,https://en.wikipedia.org/wiki/Chepya_language
Chilisso,2000,Severely endangered,https://en.wikipedia.org/wiki/Chilisso_language
Culina (Brazil),2000,Vulnerable,
Damana,2000,Definitely endangered,https://en.wikipedia.org/wiki/Damana
Duguza,2000,Definitely endangered,
Galibi Marworno,2000,Vulnerable,
Gats'ama - Ganjule - Harro,2000,Definitely endangered,
Gebe,2000,Vulnerable,https://en.wikipedia.org/wiki/Gebe
Ghadames,2000,Vulnerable,https://en.wikipedia.org/wiki/Ghadames
Griko (Calabria),2000,Severely endangered,
Huilliche,2000,Critically endangered,https://en.wikipedia.org/wiki/Huilliche_people
Ik,2000,Severely endangered,https://en.wikipedia.org/wiki/IK
Jangshung,2000,Definitely endangered,https://en.wikipedia.org/wiki/Jangshung_language
Jero,2000,Vulnerable,https://en.wikipedia.org/wiki/Jero
Kari'ña (French Guyana),2000,Definitely endangered,
Khamnigan Mongol,2000,Definitely endangered,https://en.wikipedia.org/wiki/Khamnigan_Mongol
Kona,2000,Severely endangered,https://en.wikipedia.org/wiki/Kona
Koreguaje,2000,Definitely endangered,https://en.wikipedia.org/wiki/Koreguaje_language
Koryak,2000,Severely endangered,https://en.wikipedia.org/wiki/Koryak
Kota,2000,Critically endangered,https://en.wikipedia.org/wiki/Kota
Logorik,2000,Critically endangered,https://en.wikipedia.org/wiki/Logorik
Lule Saami,2000,Severely endangered,https://en.wikipedia.org/wiki/Lule_S%C3%A1mi
Luro,2000,Critically endangered,https://en.wikipedia.org/wiki/Luro
Mambai,2000,Severely endangered,https://en.wikipedia.org/wiki/Mambai
Milang,2000,Definitely endangered,"https://en.wikipedia.org/wiki/Milang,_South_Australia"
Mocoví,2000,Definitely endangered,https://en.wikipedia.org/wiki/Mocov%C3%AD
Momuna,2000,Vulnerable,https://en.wikipedia.org/wiki/Somahai_language
Mpi,2000,Definitely endangered,https://en.wikipedia.org/wiki/MPI
Muda,2000,Vulnerable,https://en.wikipedia.org/wiki/Muda
Munji,2000,Severely endangered,https://en.wikipedia.org/wiki/Munji
Nguon,2000,Vulnerable,https://en.wikipedia.org/wiki/Nguon
Nheengatu / Yeral (Venezuela),2000,Severely endangered,
Nihali,2000,Critically endangered,https://en.wikipedia.org/wiki/Nihali_language
Nyishangba,2000,Definitely endangered,
Ottawa (Walpole Island),2000,Severely endangered,
Prasun,2000,Definitely endangered,https://en.wikipedia.org/wiki/Parun_(disambiguation)
Rukai,2000,Vulnerable,https://en.wikipedia.org/wiki/Rukai
Sáliba,2000,Severely endangered,https://en.wikipedia.org/wiki/Saliba_language
Sangkong,2000,Vulnerable,https://en.wikipedia.org/wiki/Sangkong_language
Sarwa,2000,Definitely endangered,https://en.wikipedia.org/wiki/San_people
Shoshoni (Idaho),2000,Severely endangered,
Shoshoni (Nevada),2000,Severely endangered,
Shoshoni (Wyoming),2000,Severely endangered,
Tai Phake,2000,Severely endangered,https://en.wikipedia.org/wiki/Tai_Phake
Tamazight (Arzew),2000,Critically endangered,
Tanglang,2000,Vulnerable,https://en.wikipedia.org/wiki/Tanglang
Tchitchege,2000,Definitely endangered,https://en.wikipedia.org/wiki/Tsege_language
Tinan,2000,Definitely endangered,
Tsafiki,2000,Definitely endangered,https://en.wikipedia.org/wiki/Tsafiki_language
Ukhwejo,2000,Severely endangered,https://en.wikipedia.org/wiki/Ukhwejo_language
Urarina,2000,Vulnerable,https://en.wikipedia.org/wiki/Urarina
Ushojo,2000,Definitely endangered,https://en.wikipedia.org/wiki/Ushoji_language
Waigali,2000,Definitely endangered,https://en.wikipedia.org/wiki/Kalasha-ala
Waotededo,2000,Vulnerable,
Wotapuri-Katarqalai,2000,Definitely endangered,https://en.wikipedia.org/wiki/Wotapuri-Katarqalai_language
Wutun,2000,Definitely endangered,https://en.wikipedia.org/wiki/Wutun_language
Candoshi,1900,Definitely endangered,https://en.wikipedia.org/wiki/Candoshi-Shapra_language
Hupda (Brazil),1900,Vulnerable,
Mixtec of the central Ravine,1878,Definitely endangered,https://en.wikipedia.org/wiki/Cuyamecalco_Mixtec
Kendeje,1859,Definitely endangered,https://en.wikipedia.org/wiki/Kendeje_language
Hunzib,1839,Definitely endangered,https://en.wikipedia.org/wiki/Hunzib
Tchumbuli,1838,Critically endangered,https://en.wikipedia.org/wiki/Tchumbuli_language
Cashibo-Cacataibo,1800,Definitely endangered,https://en.wikipedia.org/wiki/Kashibo_language
Grass Koiari,1800,Vulnerable,https://en.wikipedia.org/wiki/Grass_Koiari_language
Isirawa,1800,Vulnerable,https://en.wikipedia.org/wiki/Isirawa_language
Lanoh,1800,Critically endangered,https://en.wikipedia.org/wiki/Lanoh
Lemolang,1800,Vulnerable,https://en.wikipedia.org/wiki/Lemolang_language
Nila (Seram Island),1800,Definitely endangered,
Shixing,1800,Definitely endangered,https://en.wikipedia.org/wiki/Shixing_County
Chuj (Mexico),1771,Critically endangered,
Darma,1761,Definitely endangered,https://en.wikipedia.org/wiki/Darma
Kung,1750,Severely endangered,https://en.wikipedia.org/wiki/Kung
Lokono (Guyana),1750,Critically endangered,
Byangsi,1734,Definitely endangered,https://en.wikipedia.org/wiki/Byangsi_language
Pasing,1732,Definitely endangered,https://en.wikipedia.org/wiki/Pasing
Yamphu,1722,Definitely endangered,https://en.wikipedia.org/wiki/Yamphu_language
Andio,1700,Vulnerable,https://en.wikipedia.org/wiki/Andis
Cheyenne (Montana),1700,Definitely endangered,
Kumzari,1700,Severely endangered,https://en.wikipedia.org/wiki/Kumzari
Quechua of Yauyos,1700,Critically endangered,
Bainouk-Samik,1685,Severely endangered,https://en.wikipedia.org/wiki/Banyun_language
Côông,1676,Definitely endangered,https://en.wikipedia.org/wiki/C%E1%BB%91%C3%B4ng_language
Dogrib,1675,Vulnerable,https://en.wikipedia.org/wiki/T%C5%82%C4%B1%CC%A8ch%C7%AB
Upland Yuman,1650,Vulnerable,https://en.wikipedia.org/wiki/Havasupai%E2%80%93Hualapai_language
Eastern Cuicatec,1641,Vulnerable,https://en.wikipedia.org/wiki/Cuicatec_language
Tamazight (Ait Rouadi),1637,Extinct,
Woleaian,1631,Severely endangered,https://en.wikipedia.org/wiki/Woleaian_language
Huehuetla Tepehua,1603,Definitely endangered,https://en.wikipedia.org/wiki/Huehuetla_Tepehua
Kadiwéu,1600,Definitely endangered,https://en.wikipedia.org/wiki/Kadiw%C3%A9u
Southern Tiwa (Isleta Pueblo),1600,Definitely endangered,
Southern Tiwa (Sandia Pueblo),1600,Definitely endangered,
Tewa (Arizona),1600,Definitely endangered,
Tewa (New Mexico),1600,Severely endangered,
ǁGana,1550,Vulnerable,https://en.wikipedia.org/wiki/G%C7%81ana_language
Akwáwa,1548,Vulnerable,https://en.wikipedia.org/wiki/Akw%C3%A1wa_language
Northern Cuicatec,1503,Vulnerable,https://en.wikipedia.org/wiki/Cuicatec_language
Chiquihuitlán Mazatec,1502,Definitely endangered,https://en.wikipedia.org/wiki/Chiquihuitl%C3%A1n_Mazatec
Apinajé,1500,Vulnerable,https://en.wikipedia.org/wiki/Apinay%C3%A9
Bashkarik,1500,Severely endangered,https://en.wikipedia.org/wiki/Gawri_language
Chintang,1500,Severely endangered,https://en.wikipedia.org/wiki/Chintang_language
Forest Nenets,1500,Severely endangered,https://en.wikipedia.org/wiki/Forest_Nenets_language
Hupda (Colombia),1500,Definitely endangered,
Jah Hut,1500,Severely endangered,https://en.wikipedia.org/wiki/Jah_Hut
Jeri,1500,Severely endangered,https://en.wikipedia.org/wiki/Jeri
Jonkor Bourmataguil,1500,Severely endangered,https://en.wikipedia.org/wiki/Jonkor_language
K'emant,1500,Severely endangered,
Kanashi,1500,Definitely endangered,https://en.wikipedia.org/wiki/Kanashi_language
Karajá,1500,Vulnerable,https://en.wikipedia.org/wiki/Karaj%C3%A1
Karelian (Tikhvin),1500,Severely endangered,
Kendem,1500,Severely endangered,https://en.wikipedia.org/wiki/Kendem_language
Khamba,1500,Definitely endangered,https://en.wikipedia.org/wiki/Khamba
Lishpa,1500,Definitely endangered,https://en.wikipedia.org/wiki/Lishipa_tribe
Mayoruna (Brazil),1500,Vulnerable,
Mescalero-Chiricahua Apache (New Mexico),1500,Definitely endangered,
Numao Bunu,1500,Definitely endangered,
Orang Seletar,1500,Severely endangered,https://en.wikipedia.org/wiki/Orang_Seletar
Palenque Creole,1500,Definitely endangered,
Pong,1500,Definitely endangered,https://en.wikipedia.org/wiki/Pong
Pyuma,1500,Vulnerable,
Saaroa,1500,Critically endangered,https://en.wikipedia.org/wiki/Saaroa
Saluan,1500,Vulnerable,https://en.wikipedia.org/wiki/Saluan_language
Semaq Beri,1500,Critically endangered,https://en.wikipedia.org/wiki/Semaq_Beri
Talodi,1500,Critically endangered,https://en.wikipedia.org/wiki/Talodi
Wayana (Suriname),1500,Vulnerable,
Wik Mungkan,1500,Vulnerable,https://en.wikipedia.org/wiki/Wik_Mungkan_language
Natsilingmiutut,1455,Vulnerable,https://en.wikipedia.org/wiki/Natsilingmiutut
Movima,1452,Severely endangered,https://en.wikipedia.org/wiki/Movima_language
Ngombe,1450,Definitely endangered,https://en.wikipedia.org/wiki/Ngombe
Cinta Larga,1440,Vulnerable,https://en.wikipedia.org/wiki/Cinta_Larga
Dupaninan Agta,1400,Vulnerable,https://en.wikipedia.org/wiki/Dupaningan_Agta
Tese,1400,Critically endangered,https://en.wikipedia.org/wiki/TESE
Bororo,1390,Definitely endangered,https://en.wikipedia.org/wiki/Bororo
Puluwat,1364,Severely endangered,https://en.wikipedia.org/wiki/Poluwat
Kanela Rankokamekra,1337,Vulnerable,
Saba,1335,Definitely endangered,https://en.wikipedia.org/wiki/Saba
Kurripako (Brazil),1332,Vulnerable,
Triw,1328,Definitely endangered,
Guernsey French,1327,Severely endangered,https://en.wikipedia.org/wiki/Guern%C3%A9siais
Paafang,1318,Severely endangered,https://en.wikipedia.org/wiki/P%C3%A1%C3%A1fang_language
Chɨlɨng,1314,Definitely endangered,
Zapotec of the Valleys north,1303,Severely endangered,
Cypriot Arabic,1300,Severely endangered,https://en.wikipedia.org/wiki/Cypriot_Arabic
Palikur (Brazil),1300,Vulnerable,
Sanenyo,1300,Critically endangered,
Tecóatl Mazatec,1300,Vulnerable,https://en.wikipedia.org/wiki/Tec%C3%B3atl_Mazatec
Xinka,1283,Critically endangered,
Ozomatlán Totonac,1276,Critically endangered,https://en.wikipedia.org/wiki/Ozomatl%C3%A1n_Totonac
Kāgate,1273,Definitely endangered,
Maxakali,1271,Vulnerable,https://en.wikipedia.org/wiki/Maxakali
Murik,1256,Vulnerable,https://en.wikipedia.org/wiki/Murik
Pengo,1254,Critically endangered,https://en.wikipedia.org/wiki/Pengo
Marúbo,1252,Vulnerable,https://en.wikipedia.org/wiki/Mar%C3%BAbo_language
Aivilingmiutut,1245,Vulnerable,https://en.wikipedia.org/wiki/Aivilingmiutut
Besme,1228,Severely endangered,https://en.wikipedia.org/wiki/Besme
Oirata,1221,Definitely endangered,https://en.wikipedia.org/wiki/Oirata_language
Lohorung,1207,Severely endangered,https://en.wikipedia.org/wiki/Lohorung
Harakmbut,1206,Definitely endangered,https://en.wikipedia.org/wiki/Harakmbut
Buyang,1200,Severely endangered,https://en.wikipedia.org/wiki/Buyang
Dakka,1200,Vulnerable,https://en.wikipedia.org/wiki/Dakka
Mah Meri,1200,Severely endangered,https://en.wikipedia.org/wiki/Mah_Meri
Manjui,1200,Definitely endangered,
Te'un (Seram Island),1200,Definitely endangered,
Tsou,1200,Vulnerable,https://en.wikipedia.org/wiki/Tsou
Ujir,1200,Definitely endangered,https://en.wikipedia.org/wiki/Ujir
White Gelao (China),1200,Severely endangered,
Dakkang,1198,Definitely endangered,
Northern Algonquin,1180,Vulnerable,
Akawaio (Brazil),1170,Vulnerable,
Huehuetlán Mazatec,1169,Vulnerable,https://en.wikipedia.org/wiki/Tec%C3%B3atl_Mazatec
Trio (Brazil),1156,Vulnerable,
Savo,1147,Definitely endangered,https://en.wikipedia.org/wiki/Savo
Tektitek,1144,Definitely endangered,https://en.wikipedia.org/wiki/Tektitek
Fwâi,1131,Vulnerable,https://en.wikipedia.org/wiki/Fw%C3%A2i_language
Waimirí-Atroarí,1120,Vulnerable,
Guayabero,1118,Definitely endangered,https://en.wikipedia.org/wiki/Guayabero_language
Fagauvea (Northern),1107,Vulnerable,
Fagauvea (Southern),1107,Vulnerable,
Fania,1100,Severely endangered,https://en.wikipedia.org/wiki/Fania
Ubi,1100,Severely endangered,https://en.wikipedia.org/wiki/Ubi
Warnang,1100,Severely endangered,https://en.wikipedia.org/wiki/Werni_language
Itzá,1094,Critically endangered,https://en.wikipedia.org/wiki/Itza
Mixtec of the southwest of Puebla,1074,Definitely endangered,https://en.wikipedia.org/wiki/Chigmecatitl%C3%A1n_Mixtec
Lowland Chontal,1060,Critically endangered,https://en.wikipedia.org/wiki/Huamelultec_language
Koireng,1056,Critically endangered,https://en.wikipedia.org/wiki/Koireng_people
Chipaya,1050,Definitely endangered,https://en.wikipedia.org/wiki/Chipaya
Mokilese,1050,Critically endangered,https://en.wikipedia.org/wiki/Mokilese_language
Western Náhuatl,1041,Severely endangered,https://en.wikipedia.org/wiki/Western_Peripheral_Nahuatl
Acatepec Mazatec,1038,Vulnerable,https://en.wikipedia.org/wiki/Tec%C3%B3atl_Mazatec
Mixtec of Villa de Tututepec,1019,Definitely endangered,https://en.wikipedia.org/wiki/Tututepec_Mixtec
Toda,1006,Critically endangered,https://en.wikipedia.org/wiki/Toda
Adabe,1000,Vulnerable,https://en.wikipedia.org/wiki/Wetarese_language
Alutor,1000,Severely endangered,https://en.wikipedia.org/wiki/Alyutors
Arapaho (Wyoming),1000,Severely endangered,
Beeke,1000,Severely endangered,https://en.wikipedia.org/wiki/Beeke
Blackfoot (United States of America),1000,Definitely endangered,
Bohtan Neo-Aramaic,1000,Severely endangered,https://en.wikipedia.org/wiki/Neo-Aramaic_dialect_of_Bohtan
Bola,1000,Definitely endangered,https://en.wikipedia.org/wiki/Bola
Bong'om,1000,Definitely endangered,
Bora,1000,Vulnerable,https://en.wikipedia.org/wiki/Bora
Central Siberian Yupik (St. Lawrence Island),1000,Definitely endangered,
Chali,1000,Definitely endangered,https://en.wikipedia.org/wiki/Chali
Cherokee (North Carolina),1000,Severely endangered,
Cocama-Cocamilla (Peru),1000,Severely endangered,
Dair,1000,Severely endangered,https://en.wikipedia.org/wiki/Dair
Dakpa,1000,Definitely endangered,
Dampelas,1000,Definitely endangered,https://en.wikipedia.org/wiki/Dampelas_language
Danaw,1000,Critically endangered,
Ega,1000,Severely endangered,https://en.wikipedia.org/wiki/Ega
El Hugeirat,1000,Severely endangered,https://en.wikipedia.org/wiki/El_Hugeirat_language
Faghani,1000,Vulnerable,https://en.wikipedia.org/wiki/Faghani
Fongoro,1000,Severely endangered,https://en.wikipedia.org/wiki/Fongoro
Gambiri,1000,Severely endangered,
Gongduk,1000,Vulnerable,https://en.wikipedia.org/wiki/Gongduk_language
Gorap,1000,Definitely endangered,https://en.wikipedia.org/wiki/Gorap_language
Guugu Yimidhirr,1000,Vulnerable,https://en.wikipedia.org/wiki/Guugu_Yimithirr
Gyem,1000,Critically endangered,https://en.wikipedia.org/wiki/Gyem
Habu,1000,Vulnerable,https://en.wikipedia.org/wiki/Habu
Hawaiian,1000,Critically endangered,https://en.wikipedia.org/wiki/Hawaiian
Hértevin,1000,Critically endangered,https://en.wikipedia.org/wiki/Neo-Aramaic_dialect_of_Hertevin
Hu,1000,Definitely endangered,https://en.wikipedia.org/wiki/Hu
Hualapai,1000,Vulnerable,https://en.wikipedia.org/wiki/Hualapai
Hung,1000,Definitely endangered,https://en.wikipedia.org/wiki/Hung
Inkhokvari,1000,Definitely endangered,
Ishkashimi,1000,Severely endangered,https://en.wikipedia.org/wiki/Ishkashim
Iyive,1000,Severely endangered,https://en.wikipedia.org/wiki/Iyive_language
Jiongnai Bunu,1000,Definitely endangered,https://en.wikipedia.org/wiki/Kiong_Nai_language
Kaande,1000,Severely endangered,
Kaco',1000,Definitely endangered,https://en.wikipedia.org/wiki/Kaco%CA%BC_language
Kadu,1000,Severely endangered,https://en.wikipedia.org/wiki/Kadu
Kairui-Midiki,1000,Vulnerable,https://en.wikipedia.org/wiki/Kairui-Midiki_language
Kari,1000,Severely endangered,https://en.wikipedia.org/wiki/Kari
Kayabi,1000,Vulnerable,https://en.wikipedia.org/wiki/Kayab%C3%AD
Khowa,1000,Definitely endangered,https://en.wikipedia.org/wiki/Khowa
Kodeoha,1000,Vulnerable,https://en.wikipedia.org/wiki/Kodeoha_language
Kujarge,1000,Definitely endangered,https://en.wikipedia.org/wiki/Kujarg%C3%A9_language
Kukatja,1000,Vulnerable,https://en.wikipedia.org/wiki/Kukatja
Kuot,1000,Vulnerable,https://en.wikipedia.org/wiki/Kuot_language
Lokono (Suriname),1000,Severely endangered,
Mahongwe,1000,Severely endangered,https://en.wikipedia.org/wiki/Mahongwe_language
Manchurian Ölöt,1000,Severely endangered,
May,1000,Definitely endangered,https://en.wikipedia.org/wiki/May
Mbara,1000,Severely endangered,https://en.wikipedia.org/wiki/Mbara
Mech,1000,Severely endangered,https://en.wikipedia.org/wiki/Mecha
