,glottocode,name,isocodes,level,macroarea,latitude,longitude,name_normalized,Name in English,Number of speakers,Degree of endangerment,lang,family,dialects,iso3code,speakers,regions,off_lang,rec_min_lang,url
0,aasa1238,Aasax,aas,language,Africa,-4.00679,36.8648,aasax,Aasax,0,Extinct,Asa,<ul><li>Afro-Asiatic</li><ul><li> Cushitic</li><ul><li> Rift</li><ul><li>East Rift</li><ul><li> Asa</li></ul></ul></ul></ul></ul>,"Afro-Asiatic, Cushitic, Rift,East Rift, Asa",aas,Uknown,Tanzania,Unknown,Unknown,https://en.wikipedia.org/wiki/Aas%C3%A1x
1,aasa1238,Aasax,aas,language,Africa,-4.00679,36.8648,aasax,Aasax,0,Extinct,Asa,<ul><li>Afro-Asiatic</li><ul><li> Cushitic</li><ul><li> Rift</li><ul><li>East Rift</li><ul><li> Asa</li></ul></ul></ul></ul></ul>,"Afro-Asiatic, Cushitic, Rift,East Rift, Asa",aas,Uknown,Tanzania,Unknown,Unknown,https://en.wikipedia.org/wiki/Asa_language
2,abag1245,Abaga,abg,language,Papunesia,-6.12028,145.665,abaga,Abaga,5,Critically endangered,,<ul><li>Unknown</li></ul>,,,,,,,
3,abai1240,Abai Sungai,abf,language,Papunesia,5.55394,118.306,abai sungai,Abai Sungai,400,Definitely endangered,Abai Sungai,<ul><li>Austronesian</li><ul><li> Malayo-Polynesian</li><ul><li> North Bornean</li><ul><li> Southwest Sabahan</li><ul><li> Paitanic</li><ul><li> Abai Sungai</li></ul></ul></ul></ul></ul></ul>,"Austronesian, Malayo-Polynesian, North Bornean, Southwest Sabahan, Paitanic, Abai Sungai",abf,Uknown,Sabah,Unknown,Unknown,https://en.wikipedia.org/wiki/Sungai_language
4,abaz1241,Abaza,abq,language,Eurasia,44.25,42.0,abaza,Abaza,31000,Definitely endangered,Abaza,<ul><li>Northwest Caucasian</li><ul><li> Abazgi</li><ul><li> Abaza</li></ul></ul></ul>,"Northwest Caucasian, Abazgi, Abaza",abq,"49,800 ",Karachay-Cherkessia, Russia Karachay-Cherkessia,Unknown,https://en.wikipedia.org/wiki/Abaza_language
5,abkh1244,Abkhaz,abk,language,Eurasia,43.056218,41.159115,abkhaz,Abkhaz,125000,Vulnerable,,<ul><li>Unknown</li></ul>,,,,,,,
6,acha1250,Achagua,aca,language,South America,4.38649,-72.2005,achagua,Achagua,283,Severely endangered,,<ul><li>Unknown</li></ul>,,,,,,,
7,ache1245,Acheron,acz,language,Africa,10.8827,30.3187,acheron,Acheron,70000,Severely endangered,,<ul><li>Unknown</li></ul>,,,,,,,
8,achu1249,Achuar,,dialect,South America,,,achuar,Achuar,2500,Definitely endangered,,<ul><li>Unknown</li></ul>,,,,,,,
9,achu1247,Achumawi,acv,language,North America,41.0979,-121.191,achumawi,Achumawi,10,Critically endangered,Achumawi,<ul><li>Hokan</li><ul><li> \xa</li><ul><li> Shasta</li><ul><li> –Palaihnihan\xa</li><ul><li> Palaihnihan</li><ul><li> Achumawi</li></ul></ul></ul></ul></ul></ul>,"Hokan, \xa, Shasta, –Palaihnihan\xa, Palaihnihan, Achumawi",acv,Uknown,,Unknown,Unknown,https://en.wikipedia.org/wiki/Achumawi_language
10,adab1235,Adabe,adb,language,Papunesia,-8.22674,125.576,adabe,Adabe,1000,Vulnerable,,<ul><li>Unknown</li></ul>,,,,,,,
11,adny1235,Adnyamathanha,adt,language,Australia,-30.1451,138.671,adnyamathanha,Adnyamathanha,100,Definitely endangered,,<ul><li>Unknown</li></ul>,,,,,,,
12,afit1238,Afitti,aft,language,Africa,12.446,30.7611,afitti,Afitti,4512,Severely endangered,,<ul><li>Unknown</li></ul>,,,,,,,
13,ahom1240,Ahom,aho,language,Eurasia,27.2778,88.464,ahom,Ahom,0,Extinct,Ahom,<ul><li>Kra–Dai</li><ul><li> Tai</li><ul><li> Southwestern</li><ul><li>  Thai</li><ul><li> Northwestern</li><ul><li> Ahom</li></ul></ul></ul></ul></ul></ul>,"Kra–Dai, Tai, Southwestern,  (Thai), Northwestern, Ahom",aho,Uknown,Assam,Unknown,Unknown,https://en.wikipedia.org/wiki/Ahom_language
14,aimo1244,Aimol,aim,language,Eurasia,24.6437,94.3556,aimol,Aimol,2643,Critically endangered,,<ul><li>Unknown</li></ul>,,,,,,,
15,ainb1238,Ainbai,aic,language,Papunesia,-3.09214,141.149,ainbai,Ainbai,100,Severely endangered,Ainbai,<ul><li>Border</li><ul><li> Bewani Range</li><ul><li> Poal River</li><ul><li> Ainbai</li></ul></ul></ul></ul>,"Border, Bewani Range, Poal River, Ainbai",aic,100 ,Sandaun Province,Unknown,Unknown,https://en.wikipedia.org/wiki/Ainbai_language
16,aito1238,Aiton,aio,language,Eurasia,26.5145,92.3169,aiton,Aiton,2000,Severely endangered,,<ul><li>Unknown</li></ul>,,,,,,,
17,akkk1240,Ak,akq,language,Papunesia,-3.57026,141.784,ak,Ak,83,Severely endangered,,<ul><li>Unknown</li></ul>,,,,,,,
18,akaa1242,Aka,soh,language,Africa,11.2101,33.6524,aka,Aka,4000,Definitely endangered,,<ul><li>Unknown</li></ul>,,,,,,,
19,akaa1242,Aka,soh,language,Africa,11.2101,33.6524,aka,Aka,300,Critically endangered,,<ul><li>Unknown</li></ul>,,,,,,,
20,akeu1235,Akeu,aeu,language,Eurasia,22.1959,101.0823,akeu,Akeu,5000,Definitely endangered,,<ul><li>Unknown</li></ul>,,,,,,,
21,akka1237,Akkala Saami,sia,language,Eurasia,67.8625,32.4046,akkala saami,Akkala Saami,0,Extinct,Akkala Sámi,<ul><li>Uralic</li><ul><li> Sámi</li><ul><li> Eastern</li><ul><li> Mainland</li><ul><li> Akkala Sámi</li></ul></ul></ul></ul></ul>,"Uralic, Sámi, Eastern, Mainland, Akkala Sámi",sia,Uknown,Southwest Kola Peninsula,Unknown,Unknown,https://en.wikipedia.org/wiki/Akkala_S%C3%A1mi
22,akum1238,Akum,aku,language,Africa,6.85716,9.96261,akum,Akum,600,Critically endangered,Akum,<ul><li>Niger–Congo</li><ul><li>Atlantic–Congo</li><ul><li> Benue–Congo</li><ul><li> Plateau</li><ul><li> Yukubenic</li><ul><li> Akum–Beezen</li><ul><li> Akum</li></ul></ul></ul></ul></ul></ul></ul>,"Niger–Congo,Atlantic–Congo, Benue–Congo, Plateau, Yukubenic, Akum–Beezen, Akum",aku,"1,400 in Cameroon ",Taraba State,Unknown,Unknown,https://en.wikipedia.org/wiki/Akum_language
23,akun1241,Akuntsu,aqz,language,South America,-12.8322,-60.9716,akuntsu,Akuntsu,6,Critically endangered,,<ul><li>Unknown</li></ul>,,,,,,,
24,alab1237,Alabama,akz,language,North America,30.76738,-94.62848,alabama,Alabama,275,Definitely endangered,Alabama,<ul><li>Muskogean</li><ul><li> Eastern</li><ul><li> Alabama–</li><ul><li> Koasati</li><ul><li> Alabama</li></ul></ul></ul></ul></ul>,"Muskogean, Eastern, Alabama–, Koasati, Alabama",akz,approx. 370 ,"Currently in Texas, Formerly in Oklahoma and Alabama",Unknown,Unknown,https://en.wikipedia.org/wiki/Alabama_language
25,alab1246,Alabat Island Agta,dul,language,Papunesia,14.1217,122.014,alabat island agta,Alabat Island Agta,30,Critically endangered,Inagta Alabat,<ul><li>Austronesian</li><ul><li> Malayo-Polynesian</li><ul><li> Philippine</li><ul><li> Manide</li><ul><li> –Alabat</li><ul><li> Inagta Alabat</li></ul></ul></ul></ul></ul></ul>,"Austronesian, Malayo-Polynesian, Philippine, Manide, –Alabat, Inagta Alabat",dul,10 ,Quezon,Unknown,Unknown,https://en.wikipedia.org/wiki/Inagta_Alabat_language
26,alab1256,Alabugat Tatar,,dialect,Eurasia,43.59,46.66,alabugat tatar,Alabugat Tatar,422,Definitely endangered,,<ul><li>Unknown</li></ul>,,,,,,,
27,alaw1244,Alawa,alh,language,Australia,-15.5458,134.282,alawa,Alawa,22,Critically endangered,Alawa,<ul><li>Macro-Pama-Nyungan</li><ul><li>Macro-Gunwinyguan</li><ul><li> Marran</li><ul><li> Alawa</li></ul></ul></ul></ul>,"Macro-Pama-Nyungan,Macro-Gunwinyguan, Marran, Alawa",alh,5 ,"Northern Territory; Arnhem Land, Roper River.",Unknown,Unknown,https://en.wikipedia.org/wiki/Alawa_language
28,alun1238,Alune,alp,language,Papunesia,-3.11477,128.394,alune,Alune,12000,Vulnerable,,<ul><li>Unknown</li></ul>,,,,,,,
29,aluo1235,Aluo,yna,language,Eurasia,26.0,102.0,aluo,Aluo,20000,Definitely endangered,Aluo,<ul><li>Sino-Tibetan</li><ul><li> Tibeto-Burman</li><ul><li> Lolo–Burmese</li><ul><li> Loloish</li><ul><li> Nisoish</li><ul><li> Northern Loloish</li><ul><li> Nasoid</li><ul><li> Aluo</li></ul></ul></ul></ul></ul></ul></ul></ul>,"Sino-Tibetan, Tibeto-Burman, Lolo–Burmese, Loloish, Nisoish, Northern Loloish, Nasoid, Aluo",yna,"25,000 ",,Unknown,Unknown,https://en.wikipedia.org/wiki/Aluo_language
30,alut1245,Alutor,alr,language,Eurasia,60.3844,165.653,alutor,Alutor,1000,Severely endangered,Alyutor,<ul><li>Chukotko-Kamchatkan</li><ul><li> Chukotkan</li><ul><li> Alyutor</li></ul></ul></ul>,"Chukotko-Kamchatkan, Chukotkan, Alyutor",alr,25 ,Kamchatka,"Tigilsky District, Karaginsky District, Kamchatka (Russia)",Unknown,https://en.wikipedia.org/wiki/Alyutor_language
31,amah1245,Amahai,amq,language,Papunesia,-3.32028,128.939,amahai,Amahai,30,Critically endangered,,<ul><li>Unknown</li></ul>,,,,,,,
32,amah1246,Amahuaca,amc,language,South America,-10.2012,-72.3208,amahuaca,Amahuaca,500,Severely endangered,,<ul><li>Unknown</li></ul>,,,,,,,
33,aman1266,Amanayé,ama,language,South America,-3.79772,-48.6613,amanayé,Amanayé,0,Extinct,,<ul><li>Unknown</li></ul>,,,,,,,
34,ambl1237,Amblong,alm,language,Papunesia,-15.5169,166.95,amblong,Amblong,150,Definitely endangered,Amblong,<ul><li>Austronesian</li><ul><li> Malayo-Polynesian</li><ul><li> Oceanic</li><ul><li> Southern Oceanic</li><ul><li> North-Central Vanuatu</li><ul><li> North Vanuatu</li><ul><li> Espiritu Santo</li><ul><li> Amblong</li></ul></ul></ul></ul></ul></ul></ul></ul>,"Austronesian, Malayo-Polynesian, Oceanic, Southern Oceanic, North-Central Vanuatu, North Vanuatu, Espiritu Santo, Amblong",alm,Uknown,Espiritu Santo,Unknown,Unknown,https://en.wikipedia.org/wiki/Amblong_language
35,amis1246,Amis,ami,language,Papunesia,23.0917,121.348,amis,Amis,30000,Vulnerable,Amis,<ul><li>Austronesian</li><ul><li> East Formosan</li><ul><li> Amis–</li><ul><li> Sakizaya</li><ul><li> Amis</li></ul></ul></ul></ul></ul>,"Austronesian, East Formosan, Amis–, Sakizaya, Amis",ami,"110,000 ",,Unknown,Unknown,https://en.wikipedia.org/wiki/Amis_language
36,anal1239,Anal,anm,language,Eurasia,24.0506,94.2806,anal,Anal,23000,Vulnerable,Anāl,<ul><li>Sino-Tibetan</li><ul><li> Tibeto-Burman</li><ul><li> Central Tibeto-Burman</li><ul><li>  Kuki-Chin–Naga</li><ul><li> Kuki-Chin</li><ul><li> Anāl</li></ul></ul></ul></ul></ul></ul>,"Sino-Tibetan, Tibeto-Burman, Central Tibeto-Burman,  Kuki-Chin–Naga, Kuki-Chin, Anāl",anm,"14,000 ",Southeast Manipur,Unknown,Unknown,https://en.wikipedia.org/wiki/Anal_language
37,anam1249,Anambé,aan,language,South America,-2.71119,-49.303,anambé,Anambé,6,Critically endangered,Anambé,<ul><li>Tupian</li><ul><li> Tupi–Guaraní</li><ul><li> Xingu</li><ul><li> Anambé</li></ul></ul></ul></ul>,"Tupian, Tupi–Guaraní, Xingu, Anambé",aan,6 ,"Pará, Cairari River",Unknown,Unknown,https://en.wikipedia.org/wiki/Anambe_language
38,andi1255,Andi,ani,language,Eurasia,42.8078,46.2919,andi,Andi,23729,Definitely endangered,,<ul><li>Unknown</li></ul>,,,,,,,
39,andi1257,Andio,bzb,language,Papunesia,-0.88368,123.174,andio,Andio,1700,Vulnerable,,<ul><li>Unknown</li></ul>,,,,,,,
40,ando1257,Andoke,,dialect,South America,,,andoke,Andoke,597,Severely endangered,,<ul><li>Unknown</li></ul>,,,,,,,
41,andr1246,Andro,,language,Eurasia,24.754303,94.033796,andro,Andro,0,Extinct,,<ul><li>Unknown</li></ul>,,,,,,,
42,anfi1235,Anfillo,myo,language,Africa,8.568,34.647,anfillo,Anfillo,500,Critically endangered,Anfillo,<ul><li>Afro-Asiatic</li><ul><li> Omotic</li><ul><li> North Omotic</li><ul><li> Gonga</li><ul><li> Anfillo</li></ul></ul></ul></ul></ul>,"Afro-Asiatic, Omotic, North Omotic, Gonga, Anfillo",myo,Uknown,Ethiopia,Unknown,Unknown,https://en.wikipedia.org/wiki/Anfillo
43,anfi1235,Anfillo,myo,language,Africa,8.568,34.647,anfillo,Anfillo,500,Critically endangered,Anfillo,<ul><li>Afro-Asiatic</li><ul><li> Omotic</li><ul><li> North Omotic</li><ul><li> Gonga</li><ul><li> Anfillo</li></ul></ul></ul></ul></ul>,"Afro-Asiatic, Omotic, North Omotic, Gonga, Anfillo",myo,Uknown,Ethiopia,Unknown,Unknown,https://en.wikipedia.org/wiki/Anfillo_language
44,angi1238,Angika,anp,language,Eurasia,26.0047,85.534,angika,Angika,740892,Vulnerable,Angika,<ul><li>Indo-European</li><ul><li> Indo-Iranian</li><ul><li> Indo-Aryan</li><ul><li> Eastern</li><ul><li> Bihari</li><ul><li> Angika</li></ul></ul></ul></ul></ul></ul>,"Indo-European, Indo-Iranian, Indo-Aryan, Eastern, Bihari, Angika",anp,Around 15 Million[2],"Bihar and Jharkhand (India), Terai (Nepal)[1]"," India
Jharkhand (additional)
",Unknown,https://en.wikipedia.org/wiki/Angika
45,anim1239,Animere,anf,language,Africa,7.60385,0.41962,animere,Animere,700,Critically endangered,Animere,<ul><li>Niger–Congo</li><ul><li>Atlantic–Congo</li><ul><li> Kwa</li><ul><li> Kebu–Animere</li><ul><li> Animere</li></ul></ul></ul></ul></ul>,"Niger–Congo,Atlantic–Congo, Kwa, Kebu–Animere, Animere",anf,30 ,"East Central Ghana, Kecheibi and Kunda villages",Unknown,Unknown,https://en.wikipedia.org/wiki/Animere_language
46,anin1240,Anindilyakwa,aoi,language,Australia,-13.99904,136.6415,anindilyakwa,Anindilyakwa,2000,Vulnerable,Anindilyakwa,<ul><li>Macro-Pama–Nyungan</li><ul><li>Macro-Gunwinyguan</li><ul><li>East Arnhem</li><ul><li> Anindilyakwa</li></ul></ul></ul></ul>,"Macro-Pama–Nyungan,Macro-Gunwinyguan,East Arnhem, Anindilyakwa",aoi,"1,500 ","Groote Eylandt, Bickerton Island, Northern Territory, Australia",Unknown,Unknown,https://en.wikipedia.org/wiki/Anindilyakwa_language
47,anuk1239,Anuki,aui,language,Papunesia,-9.6692,149.822,anuki,Anuki,542,Definitely endangered,Anuki,"<ul><li>Austronesian</li><ul><li> Malayo-Polynesian</li><ul><li> Oceanic</li><ul><li> Western Oceanic</li><ul><li> Papuan Tip</li><ul><li> Nuclear Papuan Tip</li><ul><li> ""North Papuan Mainland – DEntrecasteaux""</li><ul><li> Anuki</li></ul></ul></ul></ul></ul></ul></ul></ul>","Austronesian, Malayo-Polynesian, Oceanic, Western Oceanic, Papuan Tip, Nuclear Papuan Tip, ""North Papuan Mainland – DEntrecasteaux"", Anuki",aui,890 ,"Milne Bay Province, tip of Cape Vogel",Unknown,Unknown,https://en.wikipedia.org/wiki/Anuki_language
48,aore1237,Aore,aor,language,Papunesia,-15.5753,167.166,aore,Aore,0,Extinct,,<ul><li>Unknown</li></ul>,,,,,,,
49,apat1240,Apatani,apt,language,Eurasia,27.1933,93.7284,apatani,Apatani,35000,Vulnerable,Apatani,<ul><li>Sino-Tibetan</li><ul><li> Tani</li><ul><li> Western Tani</li><ul><li> Apatani</li></ul></ul></ul></ul>,"Sino-Tibetan, Tani, Western Tani, Apatani",apt,"44,815 ",Arunachal Pradesh,Unknown,Unknown,https://en.wikipedia.org/wiki/Apatani_language
50,apia1248,Apiaká,api,language,South America,-7.84711,-57.91,apiaká,Apiaká,1,Critically endangered,,<ul><li>Unknown</li></ul>,,,,,,,
51,apol1242,Apolista,,language,South America,-14.83,-68.66,apolista,Apolista,0,Extinct,,<ul><li>Unknown</li></ul>,,,,,,,
52,apur1254,Apurinã,apu,language,South America,-8.21692,-66.7714,apurinã,Apurinã,2000,Definitely endangered,,<ul><li>Unknown</li></ul>,,,,,,,
53,aput1237,Aputai,apx,language,Papunesia,-7.84732,126.496,aputai,Aputai,120,Critically endangered,,<ul><li>Unknown</li></ul>,,,,,,,
54,arab1267,Arabana,ard,language,Australia,-28.705,135.449,arabana,Arabana,6,Critically endangered,,<ul><li>Unknown</li></ul>,,,,,,,
55,arab1268,Arabela,arl,language,South America,-1.96126,-75.0612,arabela,Arabela,50,Severely endangered,Arabela,<ul><li>Zaparoan</li><ul><li> Arabela–Andoa</li><ul><li> Arabela</li></ul></ul></ul>,"Zaparoan, Arabela–Andoa, Arabela",arl,50 ,, Peru,Unknown,https://en.wikipedia.org/wiki/Arabela_language
56,arag1245,Aragonese,arg,language,Eurasia,42.4669,-0.00919,aragonese,Aragonese,10000,Definitely endangered,Aragonese,<ul><li>Indo-European</li><ul><li> Italic</li><ul><li> Latino-Faliscan</li><ul><li> Latin</li><ul><li> Romance</li><ul><li> Italo-Western</li><ul><li> Western Romance</li><ul><li> unclassified</li><ul><li> in some classifications Pyrenean–Mozarabic</li><ul><li> Aragonese</li></ul></ul></ul></ul></ul></ul></ul></ul></ul></ul>,"Indo-European, Italic, Latino-Faliscan, Latin, Romance, Italo-Western, Western Romance, (unclassified), (in some classifications) Pyrenean–Mozarabic, Aragonese",arg,"Active speakers: 10,000–12,000 ",Aragon; northern and central Huesca and northern Zaragoza,Unknown,"Spain
Aragon (Protected language status)
",https://en.wikipedia.org/wiki/Aragonese_language
